w,c,zh,en,us,core,ex,exz
sluggish,'slʌgɪʃ,adj. 不活泼的，呆滞的,,'slʌɡɪʃ,"【短语】sluggish economy (萧条的经济), sluggish market (呆滞的市面)","Alex woke late, feeling tired and sluggish.",亚历克斯醒得很晚，感到很倦怠。
fulfil,fʊl'fɪl,v. 完成，履行,v. to do or provide what is necessary or needed,ful'fil,【记忆】ful(看作full， 充满的) + fil(l)(装满) → 做得圆满， 把梦想实现 → 实现,There is little doubt that the scheme fulfils a need for our community.,毫无疑问，这计划会满足我们社区的需求。
compass,'kʌmpəs,n. 指南针；圆规；界限,n. an instrument that shows directions and has a needle that always points north,'kʌmpəs,"【记忆】com(共同) + pass(通过) → 双边共同通过的地方 → 界限， 范围 | 【短语】within the compass of (在…的范围内), magnetic compass (磁罗盘，磁罗经), compass needle (罗盘针，罗针；罗经磁针)",a map and compass,地图和指南针
paternity,pə'tɜːnɪtɪ,n. 父系，父系后裔,,pə'tɝnəti,"【短语】paternity test (亲权认定；父权检验；试验), paternity leave (陪产假)",The paternity of the child is in dispute.,这个孩子的生父是谁尚有疑问。
ferocious,fə'rəʊʃəs,adj. 凶猛的，凶残的,"adj. violent, dangerous, and frightening",fə'roʃəs,,"a ferocious, hungry lion",一头凶猛的饿狮
intense,ɪn'tens,adj. 强烈的，剧烈的，热情的,adj. having a very strong effect or felt very strongly,ɪn'tɛns,"【记忆】in(在…之中) + tense(紧张) → 处于紧张之中 → 紧张的 | 【短语】intense competition (激烈的竞争), intense emotion (激情), intense pain (剧烈疼痛；剧痛)",Young people today are under intense pressure to succeed.,如今的年轻人面临要出人头地的巨大压力。
humidity,hjʊ'mɪdɪtɪ,n. 湿气，空气湿度,n. the amount of water contained in the air,hju'mɪdəti,"【记忆】humid(潮湿的) + ity → 湿度； 潮湿 | 【短语】temperature and humidity (温度与湿度), relative humidity (相对湿度), high humidity (高湿度；湿度大；最高湿度)",The room is kept at 72 degrees and 50% relative humidity.,房间的温度保持在72度，相对湿度50%。
elaborate,ɪ'læb(ə)rət,adj. 复杂的；详尽的；v. 做详细说明,adj. having a lot of small parts or details put together in a complicated way；v. to give more details or new information about something,ɪ'læbəret,【记忆】e(出) + labor(劳动) + ate → 辛苦劳动做出来的 → 精心制作的 | 【短语】elaborate on (详细说明),pure silks embroidered with elaborate patterns,绣有精美图案的真丝衣服
underlying,ʌndə'laɪɪŋ,adj. 含蓄的，潜在的；在下面的,"adj. The underlying features of an object, event, or situation are not obvious, and it may be difficult to discover or reveal them",",ʌndɚ'laɪɪŋ","【记忆】under(在…下) + lying(躺着的) → 在下面躺着的 → 在下面的 | 【短语】underlying surface (下垫面，下伏面；伏面), underlying asset (标的资产；基础资产；相关/指定资产), underlying strata (底板岩石)",To stop a problem you have to understand its underlying causes.,要解决问题，你得了解其潜在原因。
endow,ɪn'daʊ; en-,v. 捐款，资助,"v. to give a college, hospital etc a large sum of money that provides it with an income",ɪn'daʊ,【短语】endow with (赋予；具有),The ambassador has endowed a $1 million public-service fellowships programme.,大使资助了一个100万美元的公共服务奖学金项目。
anticipate,æn'tɪsɪpeɪt,v. 占先，预先处理；预料,v. to expect that something will happen and be ready for it,æn'tɪsə'pet,【记忆】anti(在…之前) + cip(拿， 取) + ate(动词后缀) → 在…之前取得 → 先于…行动,Sales are better than anticipated.,销量比预期要好。
offshore,'ɒfʃɔː; ɒf'ʃɔː,a&ad. 离岸的(地)；近海的(地),,",ɔf'ʃɔr","【短语】offshore platform (海上平台；近海平台), offshore drilling (海底钻探), offshore engineering (近海工程；离岸工程)",The building can accommodate all of the offshore workers and protect them from hurricane damage.,这个建筑能容纳所有的海上工人并且保护他们不受飓风的伤害。
detriment,'detrɪm(ə)nt,n. 损害，损伤,n. harm or damage,'dɛtrɪmənt,【短语】to the detriment of (对…不利),Work hard to succeed but not to the detriment of others.,在不损害他人利益的前提下为成功艰苦奋斗。
nourishment,'nʌrɪʃm(ə)nt,n. 食物,"n. something that helps a feeling, idea, or belief to grow stronger",'nɝɪʃmənt,,His favorite fruits and vegetables as well as 55 lb. of bamboo will be on board for nourishment.,除了它最喜爱的水果和蔬菜以外还有55磅的竹子将会作为它在飞机上的食物。
lick,lɪk,n&vt. 舔；(火焰)卷过；(波浪)轻拍,"n&vt. to move your tongue across the surface of something in order to eat it, wet it, clean it etc",lɪk,【短语】lick up (v. 舔光；吞噬),The dog jumped up and licked her face.,那只狗跳起来舔她的脸。
marsh,mɑːʃ,n. 沼泽，湿地,n. an area of low flat ground that is always wet and soft,mɑrʃ,"【记忆】mars(火星) + h → 火星上可能会有沼泽 → 沼泽 | 【短语】marsh gas (甲烷，沼气), salt marsh (盐沼；盐碱滩)",He led them away from a marsh.,他把他们带离沼泽。
perspire,pə'spaɪə,v. 出汗，流汗,"v. if you perspire, parts of your body become wet, especially because you are hot or have been doing hard work",pɚ'spaɪɚ,,Willie was perspiring heavily .,威利大汗淋漓。
gauge,geɪdʒ,"""n. 标准尺寸,(铁道)轨矩;雨量器；(电线)直径 ""","""n. the width of the barrel of a gun",gedʒ,"【记忆】“规矩” → 规格 | 【短语】pressure gauge (压力计，测压表), strain gauge (应变仪；[机]变形测量器), level gauge (水准仪；液面水位计)",a 12-gauge shotgun,12号口径的猎枪
explode,ɪk'spləʊd; ek-,v. (使)爆炸，爆发,"v. to burst, or to make something burst, into small pieces, usually with a loud noise and in a way that causes damage",ɪk'splod,【记忆】ex(出) + plod(击掌) + e → 众人齐声鼓掌声响如爆炸 → 爆炸； 爆发 | 【短语】explode into (爆发出…),The device was thrown at an army patrol but failed to explode.,炸弹投向了陆军巡逻队，但没有爆炸。
fringe,frɪn(d)ʒ,n. 缘饰，毛边，边缘，刘海；v. 装上缘饰,"n. if you have a fringe, your hair is cut so that it hangs down over your forehead",frɪndʒ,"【短语】fringe pattern (条纹图形，干涉图样), interference fringe ([电]干涉条纹), fringe area (电视接收边缘区；边缘地区；干扰区域)",a tall girl with straight brown hair and a fringe,一头棕色直发、留着刘海的高个子女孩
fascinating,'fæsɪneɪtɪŋ,adj. 迷人的,adj. extremely interesting,'fæsɪnetɪŋ,,a fascinating book,一本引人入胜的书
uneasy,ʌn'iːzɪ,adj. 不自在的,adj. worried or slightly afraid because you think that something bad might happen,ʌn'izi,【记忆】un(不) + easy(安心的) → 不安心的 → 心神不安的 | 【短语】uneasy about (担忧),She eventually fell into an uneasy sleep.,她终于睡着了，但睡得并不踏实。
expedition,ekspɪ'dɪʃ(ə)n,n. 远征，探险(队)，考察(队),"n. a long and carefully organized journey, especially to a dangerous or unfamiliar place, or the people that make this journey",",ɛkspə'dɪʃən",【记忆】ex(出) + ped(脚) + ition → 出行 | 【短语】fishing expedition (审前盘问；非法调查),an expedition to the North Pole,北极探险
organism,'ɔːg(ə)nɪz(ə)m,n. 生物；有机体；有机的组织,"n. an animal, plant, human, or any other living thing",'ɔrɡənɪzəm,"【短语】living organism (生物体；活体), marine organism (海洋生物), aquatic organism (水生生物)",All living organisms have to adapt to changes in environmental conditions.,一切生物都要适应环境条件的变化。
swallow,'swɒləʊ,v. 吞，咽,v. to make food or drink go down your throat and towards your stomach,'swɑlo,【短语】swallow up (淹没；吞下去；耗尽),He swallowed the last of his coffee and asked for the bill.,他喝完最后一口咖啡，要求结账。
spare,speə,adj. 空闲的；剩余的；n. 备用件,"adj. not being used or not needed at the present time；n. an additional thing, for example a key, that you keep so that it is available",spɛr,"【短语】spare oneself (偷懒), spare time (n. 消遣时间), spare part (备件)",Have you got any spare boxes?,你有没有多余的盒子？
means,miːnz,n. 方法，手段，金钱，财富,n. a way of doing or achieving something,minz,"【短语】by means of (用，依靠), means of production (生产资料；生产手段；生产工具), means of transport (运输工具)",The only means of communication was sign language.,唯一的交流方法是手语。
proportion,prə'pɔːʃ(ə)n,n. 比率，比例；大小，容积,n. The proportion of one kind of person or thing in a group is the number of people or things of that kind compared to the total number of people or things in the group,prə'pɔrʃən,"【记忆】pro + portion(部分) → 比例； 部分 | 【短语】in proportion (成比例；相称), a large proportion of (一大部分), direct proportion (n. 正比；正比例)",The proportion of women in the profession had risen to 17.3%.,从事那个职业的女性比例已经增长到17.3%。
microfilm,'maɪkrə(ʊ)fɪlm,n. 微缩胶片,"n. a type of film on which pictures and writing can be made very small, so that large amounts can be stored easily",'maɪkrofɪlm,,"It was to harbor drawers brimming with reference books, microfilm and bibliographic cards.",操作台的抽屉里塞满了参考书、缩微胶片和各种书目卡片。
obscene,əb'siːn,adj. (文学，图画)猥亵的，淫秽的,adj. relating to sex in a way that is shocking and offensive,əb'sin,,Bradford made an obscene gesture.,布拉德福德做了个下流手势。
meek,miːk,adj. 温顺的，谦逊的,adj. very quiet and gentle and unwilling to argue with people,mik,,He was always so meek and mild .,他总是那么温顺。
herb,hɜːb,n. 草本植物;药草,"n. a small plant that is used to improve the taste of food, or to make medicine",ɝb,"【短语】medicinal herb (草药；药草), chinese medicinal herb (中草药), herb layer (草本层)",Sprinkle the dish with chopped fresh herbs.,在菜肴上撒些切碎的新鲜香草。
mansion,'mænʃ(ə)n,n. 大厦，官邸,n. a very large house,'mænʃən,"【记忆】man(人) + sion → 有钱人住的地方 → 宅邸 | 【短语】mansion house (大厦之屋，民信大厦；府邸), executive mansion (n. 白宫；州长官邸)",a beautiful country mansion,漂亮的乡村宅第
minute,'mɪnɪt,n. 分，备忘录；adj. 微小的，细致的,n. a unit for measuring time. There are 60 minutes in one hour；adj. extremely small,'mɪnɪt,"【短语】every minute (n. 完全，彻底；时时刻刻), in a minute (马上；立即), at the last minute (到最后一刻)",It takes me ten minutes to walk to work.,我步行上班要用十分钟。
outcry,'aʊtkraɪ,n. 公开反对,,'aʊtkraɪ,【短语】open outcry (公开喊价),The closure of the local hospital has caused a huge public outcry.,当地医院的关闭激起了大规模的公众抗议。
preface,ˈpref.ɪs,n&v. 序言；为加序,n&v. an introduction at the beginning of a book or speech,ˈpref.ɪs,【记忆】pre(在…前面) + face(面) → 写在正文前面的话 → 序言,...the preface to Kelman's novel.,…凯尔曼小说的前言。
sediment,'sedɪm(ə)nt,n. 沉积物，沉淀,n. solid substances that settle at the bottom of a liquid,sɛdəmənt,"【记忆】sedi(坐) + ment(名词后缀) → 坐下去的东西 → 沉淀物 | 【短语】sediment transport (沉积物运移；泥沙流移；土砂流送), sediment concentration (含沙量；沉积物浓度), sediment yield (产沙量；泥砂生产量)",a thick layer of sediment,一层厚厚的沉积物
resign,rɪ'zaɪn,v. 放弃；辞去,v. to officially announce that you have decided to leave your job or an organization,rɪ'zaɪn,【记忆】re(回) + sign(签名) → 要回签名 → 辞职； 放弃 | 【短语】resign from (辞职),A hospital administrator has resigned over claims he lied to get the job.,一位医院主管因为有人声称他的职位是骗来的而辞职了。
torch,tɔːtʃ,n. 火把；手电筒,n. a small electric lamp that you carry in your hand,tɔrtʃ,"【短语】torch relay (火炬传递；火炬接力；圣火传递), olympic torch (奥运火炬；奥运圣火), welding torch (焊接炬；熔接气炬；焊接喷灯)",We shone our torches around the cavern.,我们用手电筒照着山洞。
deteriorate,dɪ'tɪərɪəreɪt,v. 恶化，败坏,v. to become worse,dɪ'tɪrɪəret,【记忆】de(向下) + ter(地) + ior + ate → 向地面下降 → 变糟糕 → 变坏,Ethel’s health has deteriorated.,埃塞尔的健康状况恶化了。
degenerate,dɪ'dʒen(ə)rət,n&a. 堕落(的)，颓废(的),n&a. someone whose behaviour is considered to be morally unacceptable,dɪ'dʒɛnəret,【记忆】de(向下)+ gen(产生) + erate → 毁掉产生的东西 → 退化； 退化的,,
characterize,'kærəktəraiz,v. 表示的特征,,'kærəktə'raɪz,,Bright colours characterize his paintings.,明亮的色彩是他绘画作品的特点。
parade,pə'reɪd,v. 阅兵整队；列队行进，游行；夸耀；炫示,v. to walk or march together to celebrate or protest about something,pə'red,"【短语】on parade (受检阅；在游行), military parade (阅兵；军事博览), join the parade ([美国英语]学时髦；跟着大众行动)",Young athletes will get a chance to parade their skills.,年轻运动员将有机会一展身手。
let,let,v. 允许，让，出租,v. to allow someone to do something,lɛt,"【短语】let us (让我们), let go (放开；释放；发射), let me see (让我看看；让我想一想)",I can’t come out tonight – my dad won’t let me.,今天晚上我不能出来，我爸爸不允许。
swing,swɪŋ,vt&vi. 摆动，摇动；旋转，转向,"vt&vi. to make regular movements forwards and backwards or from one side to another while hanging from a particular point, or to make something do this",swɪŋ,"【记忆】s + wing(翅膀) → 摇摆翅膀， 在风中盘旋 → 摇摆 | 【短语】in full swing (活跃；正在全力进行中), full swing (达到活动的高潮；全力进行中), go with a swing (v. 顺利进行；节奏轻快)",Let your arms swing as you walk.,边走边摆动双臂。
incongruous,ɪn'kɒŋgrʊəs,adj. 不适宜的,"adj. strange, unexpected, or unsuitable in a particular situation",ɪn'kɑŋɡruəs,,The new theatre looks utterly incongruous in its setting.,这座新剧院和周围的环境格格不入。
inventory,'ɪnv(ə)nt(ə)rɪ,n. 详细目录，存货清单；存货盘存,n. a list of all the things in a place,'ɪnvəntɔri,"【记忆】in + vent(来) + ory(表物) → 有关所有进来的货物的 → 目录； 存货 | 【短语】inventory management (存货管理), inventory control (存货控制；存货管理), take inventory (实地清点盘存；编制...清单)",...one inventory of twelve sails for each yacht.,…为每艘游艇配备12张帆的存货。
choir,'kwaɪə,n. (教会的)歌唱队，唱诗班,n. a group of people who sing together for other people to listen to,'kwaɪɚ,,He joined a church choir at the age of eight.,他八岁时加入了一个教堂唱诗班。
hatch,hætʃ,v. 孵出，策划,"v. if an egg hatches, or if it is hatched, it breaks, letting the young bird, insect etc come out",hætʃ,"【记忆】要想赢得比赛(match)得有准备和策划(hatch) | 【短语】hatch out (孵出；策划), hatch cover (舱口盖；装货口盖), escape hatch (安全舱口)",The eggs take three days to hatch.,这些蛋要三天时间才能孵化。
demonstrate,'demənstreɪt,v. 论证，证明；示威,v. to show or prove something clearly,'dɛmən'stret,【记忆】de(完全) + monstr(展示) + ate → 完全展示 → 论证； 说明,The study demonstrates the link between poverty and malnutrition.,这项研究证明了贫困与营养不良之间的联系。
conversion,kən'vɜːʃ(ə)n,n. 变换，转化，改变；兑换,"n. when you change something from one form, purpose, or system to a different one",kən'vɝʒn,"【记忆】con + vers(转) + ion → 转化； 转变 | 【短语】frequency conversion (频率变换), conversion rate (汇率；折合率；兑换率), conversion efficiency (换能效率)",...the conversion of disused rail lines into cycle routes.,…把废弃的铁路改变成自行车道。
dearth,dɜːθ,n. 缺乏，供应不足,n. a situation in which there are very few of something that people want or need,də:θ,【记忆】dear(珍贵的) + th → 物以稀为贵 → 缺乏， 短缺,Construction had slowed because of a dearth of labourers.,建筑进程缓慢是因为劳动力不足。
profane,prə'feɪn,adj. 亵神的，亵渎的；v. 亵渎，玷污,adj. showing a lack of respect for God or holy things；v. to treat something holy with a lack of respect,prə'fen,,profane language,亵渎的语言
cluster,'klʌstə,n. 一串，一簇；v. 群集；丛生,n. a group of things of the same kind that are very close together,'klʌstɚ,"【记忆】clu(看作clue， 线索) + ster → 由一条线索贯穿的 → 串， 群 | 【短语】cluster analysis (聚类分析；群集分析), a cluster of (一群；一组；一串), cluster sampling (分组取样；类集抽样；巢式抽样法)",a diamond cluster ring,群镶钻戒
revolt,rɪ'vəʊlt,v&n. 反抗；厌恶,v&n. a refusal to accept someone’s authority or obey rules or laws,rɪ'volt,"【短语】in revolt (反抗；造反), revolt against (反感；厌恶), revolt at (厌恶；憎恶)",The prime minister is now facing a revolt by members of his own party.,首相现在面临着党内倒戈。
secular,'sekjʊlə,adj. 现世的，世俗的；非宗教的,adj. not connected with or controlled by a church or other religious authority,'sɛkjəlɚ,"【短语】secular variation (长期变化), secular trend (长期趋势)",secular education,世俗教育
agenda,ə'dʒendə,n. 议事日程,"n. a list of problems or subjects that a government, organization etc is planning to deal with",ə'dʒɛndə,"【记忆】ag(做， 行动) + enda(表名词复数) → 做的事情 → 议程 | 【短语】item on the agenda (议程项目), hidden agenda (隐秘的议程；幕后的动机), agenda setting (议题设定；议程设定)",The Republicans have stuck to their conservative agenda.,共和党人坚持自己的保守议题。
loop,luːp,n. 环状物，绳圈，环；v. 绕成圈,"n. a shape like a curve or a circle made by a line curving back towards itself, or a piece of wire, string etc that has this shape；v. to make a loop or make something into a loop",lup,"【短语】closed loop (闭环，闭合环路), loop control (循环控制), loop system (环形系统，环状管网；闭合系统)",Mrs. Morrell reached for a loop of garden hose.,莫雷尔夫人伸手去拿一圈橡胶软管。
conscientious,",kɒnʃɪ'enʃəs",adj. 认真的，诚心诚意的,adj. careful to do everything that it is your job or duty to do,'kɑnʃɪ'ɛnʃəs,,A conscientious teacher may feel inclined to take work home.,一个认真负责的教师可能会想着把工作带回家去做。
revenge,rɪ'ven(d)ʒ,v. 报复，报仇,v. to punish someone who has done something to harm you or someone else,rɪ'vɛndʒ,"【短语】take revenge on someone (向某人进行报复), have one's revenge (◎向…报复), revenge for (为…报复)",The poor murdered girl must be revenged.,一定要为被害的可怜女孩报仇。
friction,'frɪkʃ(ə)n,n. 摩擦，不和，倾轧,"n. disagreement, angry feelings, or unfriendliness between people",'frɪkʃən,"【记忆】润滑油的功能(function)是减小摩擦力(friction) | 【短语】friction coefficient (磨擦系数), friction force (摩擦力), friction factor (摩擦因子；摩擦率)",Putting oil on both surfaces reduces friction.,两面都上油可减小摩擦力。
diversion,daɪ'vɜːʃ(ə)n; dɪ-,n. 转向；水遣；改道,"n. a change in the direction or use of something, or the act of changing it",dəˈvɝʒən; dəˈvɝʃən; daɪˈvɝʒən; daɪˈvɝʃən,"【记忆】di(分离) + vers(转) + ion → 转向， 转移， 转换 | 【短语】south-to-north water diversion (南水北调), diversion tunnel (导流洞；导流隧洞), river diversion (导流；河流改道)",A slight diversion in the road is causing major headaches for businesses along El Camino Real.,马路上的一小段绕行道让国王大道沿街的商家十分头疼。
check,tʃek,v&n. 检查，核对，控制,"v&n. to do something in order to find out whether something really is correct, true, or in good condition",tʃɛk,,Check the tiles carefully before you buy them.,购买之前要把瓷砖仔细检查一下。
proceed,prə'siːd,v. 进行；着手,v. to continue to do something that has already been planned or started,pro'sid,"【记忆】pro(向前) + ceed(行走) → 进行； 前进 | 【短语】proceed with (继续进行), proceed from (从...出发), proceed against (起诉；控诉；提起诉讼)","Before proceeding further, we must define our terms.",我们必须先定义术语，然后再往下展开。
chase,tʃeɪs,v&n. 追逐，追赶,v&n. to quickly follow someone or something in order to catch them,,"【记忆】谁动了我的奶酪(cheese)， 我就去追(chase)谁 | 【短语】chase after (追逐；追赶), cut to the chase (开门见山；提到关键问题；转入（或切入）正题), jpmorgan chase (摩根大通公司)",The dogs saw him running and chased him.,那些狗看到他在跑就追他。
plea,pliː,n. (法律)抗辩；请求，恳求，托词，口实,n. a request that is urgent or full of emotion,pli,"【短语】plea bargaining (n. [法]认罪求情协议), plea for (恳求，请求)",Caldwell made a plea for donations.,考德威尔恳求捐款。
mobilize,'məʊbəlaɪz,vt&vi. 动员,vt&vi. to encourage people to support something in an active way,'mobəlaɪz,,an attempt to mobilize popular opinion,鼓动公众舆论的尝试
yearn,jɜːn,v. 想念，渴望,"v. to have a strong desire for something, especially something that is difficult or impossible to get",jɝn,"【短语】yearn for (渴望), yearn towards (向往…；想念)",He yearned for freedom.,他曾渴望自由。
personnel,pɜːsə'nel,n. 职员，人员，人事,"n. the people who work in a company, organization, or military force",",pɝsə'nɛl","【记忆】员工(personnel)应该有个人(personal)时间 | 【短语】technical personnel (技术人员), personnel training (人员培训), management personnel (管理人员；管理人才)",All personnel are to receive security badges.,所有人员都将拿到安保徽章。
vice,vaɪs,n. 罪恶；不道德行为,n. criminal activities that involve sex or drugs,vaɪs,"【短语】vice president (副总统；副主席), vice versa (反之亦然), vice director (副处长；副主任；副院长；副会长)",the fight against vice on the streets,打击街头犯罪
paddle,'pæd(ə)l,n. 短桨；vt&vi. 用桨划动,"n. a short pole that is wide and flat at the end, used for moving a small boat in water；vt&vi. to move a small light boat through water, using one or more paddles",'pædl,【短语】paddle wheel (桨轮；明轮),Each man had a paddle for an hour and then a rest.,每人划一小时桨， 然后休息一下。
clutch,klʌtʃ,v. 抓住，攫住；n. 抓，控制；离合器，攫,"v. to suddenly take hold of someone or something because you are frightened, in pain, or in danger；n. the  pedal  that you press with your foot when driving a vehicle in order to change  gear  , or the part of the vehicle that this controls",klʌtʃ,"【记忆】和catch(v. 抓住)一起记 | 【短语】in the clutch ([口语]在关键时刻), electromagnetic clutch (电磁离合器), clutch at (抓住)",He clutched at a pillar for support.,他猛地抓住一根柱子作支撑。
pedestrian,pɪˈdestrɪən,n&a. 行人(的),"n&a. someone who is walking, especially along a street or other place used by cars",pə'dɛstrɪən,"【记忆】ped(脚) + estrian → 用脚走的人 → 行人 | 【短语】pedestrian street (步行街；行人街道), pedestrian crossing (人行横道), pedestrian mall (步行街)","Ingrid was a walker, even in Los Angeles, where a pedestrian is a rare sight.",英格丽德是个步行者，即使在行人少见的洛杉矶也是如此。
graphic,'græfɪk,adj. 图解的；书写的；生动的,"adj. Graphic means concerned with drawing or pictures, especially in publishing, industry, or computing",'græfɪk,"【记忆】graph(书写) + ic(形容词后缀) → 文字的； 生动的 | 【短语】graphic design (平面造型设计；图示设计), graphic method (图解法；图示法), graphic designer (美术设计员)",...fine and graphic arts.,…美术与制图艺术。
mercantile,'mɜːk(ə)ntaɪl,adj. 商业的；贸易的,adj. concerned with trade,'mɝkəntɪl,"【短语】mercantile system (重商主义；重商制度), chicago mercantile exchange (芝加哥商业交易所)",mercantile law,商法
console,kən'səʊl,n. 控制台，仪表板；落地柜；v. 安慰，慰问,"n. a flat board that contains the controls for a machine, piece of electrical equipment, computer etc；v. to make someone feel better when they are feeling sad or disappointed",'kɑnsol,"【短语】game console (游戏机；游戏控制器), games console (游戏控制台；携带型电脑游戏), control console (控制（操作）台)",No one could console her when Peter died.,彼得去世时没人能够安慰她。
tremendous,trɪ'mendəs,adj. 巨大的，极大的；非常的，极好的,"adj. very big, fast, powerful etc",trə'mɛndəs,【记忆】trem(害怕) + end + ous(多…的) → (多得、 好得)让人害怕 的 → 非常的， 惊人的,"Suddenly, there was a tremendous bang, and the whole station shook.",突然一声巨响，整个车站都晃动了。
decrease,dɪ'kriːs,v&n. 减少，减少，减少量,"v&n. to become less or go down to a lower level, or to make something do this",dɪ'kris,"【记忆】de(相反) + cre(生长) + ase → 减少 | 【短语】on the decrease (在减少中), decrease by (减少了…)",The number of people who have the disease has decreased significantly in recent years.,近年来，这种病的患者人数明显下降。
performance,pə'fɔːm(ə)ns,n. 执行；成绩；演出,n. when someone performs a play or a piece of music,pɚ'fɔrməns,"【短语】high performance (高性能；高效能的), good performance (良好的性能；良好绩效), performance evaluation (性能评估；性能赋值)",This evening’s performance will begin at 8.00 pm.,今晚的演出8点开始。
attempt,ə'tem(p)t,vt&n. 尝试，企图,"vt&n. an act of trying to do something, especially something difficult",ə'tɛmpt,"【记忆】at(表加强) + tempt(诱惑) → 试图引诱别人 → 尝试， 试图 | 【短语】attempt at (企图，努力；尝试), attempt to do something (努力...；试图...), attempt to do (尝试去做)",He made no attempt to hide his anger.,他毫不掩饰自己的愤怒。
naked,'neɪkɪd,adj. 裸体的；无遮蔽的,adj. not wearing any clothes or not covered by clothes,'nekɪd,"【短语】naked eye (n. 肉眼), naked light (明火；无罩灯)",The children ran naked through the yard.,孩子们光着身子跑过院子。
female,'fiːmeɪl,n&a. 女性(的)，[语]阴性(的),n&a. an animal that belongs to the sex that can have babies or produce eggs,'fimel,"【记忆】fe(音似： 非) + male(男子) → 非男子 → 女子 | 【短语】male and female (雌雄；[化]凹凸面), female flower (雌花), female parent ([生]母本)",Hay fever affects males more than females.,男性感染花粉热多于女性。
raid,reɪd,v&n. 袭击,"v&n. a short attack on a place by soldiers, planes, or ships, intended to cause damage but not take control",red,【短语】air raid (空袭),a bombing raid,轰炸
miserable,'mɪz(ə)rəb(ə)l,adj. 悲惨的，使人难受的,"adj. making you feel very unhappy, uncomfortable etc",'mɪzrəbl,【记忆】miser(同情) + able(能…的) → 令人同情的 → 悲惨的,They endured hours of backbreaking work in miserable conditions.,他们在恶劣条件下忍受长时间的繁重劳动。
innocent,'ɪnəs(ə)nt,adj. 无罪的，无害的，天真的；n. 天真无邪的人,adj. not guilty of a crime；n. An innocent is someone who is innocent,'ɪnəsnt,"【记忆】in(不) + noc(伤害) + ent(形容词后缀) → 没受过伤害的 → 天真的 | 【短语】innocent of (无罪的，清白的), innocent blood (无辜人的血；无辜之血；不死的传说（美国恐怖戏剧爱情片）), innocent party (无过失之一方；无辜的一方)",Nobody would believe that I was innocent.,没人肯相信我是清白的。
stack,stæk,n. 堆；大量；书库,n. a neat pile of things,stæk,"【记忆】库存(stock) 就是一堆(stack)商品 | 【短语】a stack of (一堆；一摞), protocol stack (协议栈；协定堆), stack up (堆积；累计；加起来)",stacks of dirty dishes,一摞摞脏盘子
humble,'hʌmbl,adj. 谦卑的，恭顺的，简陋的；v. 使卑下，贬抑,adj. not considering yourself or your ideas to be as important as other people’s,'hʌmbl,【记忆】hum(地) + ble → 接近地面的 → 谦逊的； 卑贱的,a modest and humble man,一个谦卑的男人
shamble,'ʃæmb(ə)l,v. 蹒跚，拖沓,"v. to walk slowly and awkwardly, not lifting your feet much, for example because you are tired, weak, or lazy",'ʃæmbl,,"Zombies shamble up the rows of the grid toward your house, and if they get past your defenses, well, you know.",僵尸们在网格的每一行向你的房子蹒跚而行，如果他们越过了你的防线，那么，你知道的。
ribbon,'rɪbən,n. 缎带，丝带，带状物,"n. a narrow piece of attractive cloth that you use, for example, to tie your hair or hold things together",'rɪbən,"【短语】red ribbon (n. 红丝带), blue ribbon (蓝带程序；最高的荣誉；一流的), silk ribbon (丝带；绸带)",little girls with ribbons in their hair,头发上系着丝带的小姑娘们
tyrannical,tɪ'rænɪk(ə)l; taɪ-,adj. 暴君的，专制的,adj. behaving in a cruel and unfair way towards someone you have power over,tɪ'rænɪkl,,a tyrannical parent,一位专横的家长
aerial,'eərɪəl,adj. 空气的；空中的 (无线电)天线,adj. in or moving through the air,'ɛrɪəl,"【短语】aerial photography (n. 空中摄影；空中照相术), aerial survey (航空测量，空中测量；航空摄影测量；航空调查), aerial photograph (航空照片；航摄像片)",Weeks of aerial bombardment had destroyed factories and motorways.,数周的空袭已经摧毁了各工厂和公路。
astronomy,ə'strɒnəmɪ,n. 天文学,n. the scientific study of the stars and  planet s,ə'strɑnəmi,"【记忆】astro(星星) + nomy(法则； 学科) → 研究星星的学科 → 天文学 | 【短语】radio astronomy (n. 射电天文学), physics and astronomy (物理学和天文学), national radio astronomy observatory (国立射电天文台)",Do you know anything about astronomy?,你懂天文学吗?
segment,'segm(ə)nt,n. 切片，部分；段，节,n. a part of something that is different from or affected differently from the whole in some way,'sɛɡmənt,"【记忆】seg(=sec切割) + ment → 片段； 部分 | 【短语】market segment (细分市场；市场区隔；分块市场), line segment (n. 线段), soft segment (软链段，柔性链段)",Decorate with orange segments.,用几瓣橙子作点缀。
downtown,'daʊntaʊn,a&ad. 在城市的商业区,,'daʊn'taʊn,"【短语】downtown area (市中心), go downtown (到市区), downtown manhattan (曼哈顿闹市区（纽约市中心商业地带）)",,
defraud,dɪ'frɔːd,v. 欺骗，欺诈,v. to trick a person or organization in order to get money from them,dɪ'frɔd,,"He faces charges of theft and conspiracy to defraud (= a secret plan to cheat someone, made by two or more people ) .",他面临偷窃和合谋诈骗的指控。
improvise,'ɪmprəvaɪz,v. 即席创作，临时凑成,"v. to do something without any preparation, because you are forced to do this by unexpected events",'ɪmprəvaɪz,,"I forgot to bring my notes, so I had to improvise.",我忘了带笔记，只好临时发挥。
