w,c,zh,en,us,core,ex,exz
effect,gt,"影响,效果",result of an action,/ˈifɛkt/,一个动作落下后，在别处留下的结果和影响。,The medicine had no effect.,药没什么效果。
end,gt,"末端,结束",final part of something,/ɛnd/,一段事物走到最后，停在不再继续的地方。,At the end of the road.,在路的尽头。
error,gt,错误,a mistake,/ˈɛɹɝ/,原本该对齐的事偏了，留下一个需要改正的错处。,There's an error in your math.,你算错了。
event,gt,事件,a thing that happens,/iˈvɛnt/,在某个时间真的发生、可被提起的一件事。,It was a big event.,那是一件大事。
example,gt,例子,a thing showing a rule,/ɪɡˈzæmpəl/,拿一个具体东西摆出来，让人看懂同类规则。,Give me an example.,给我举个例子。
exchange,gt,交换,giving one for another,/ɪksˈtʃeɪndʒ/,你给我这个，我给你那个，东西换了手。,An exchange of gifts.,礼物交换。
existence,gt,存在,the state of being,/ɛɡˈzɪstəns/,某物确实在那里或正在发生，不只是想象或说法。,The existence of life on Mars?,火星上有生命存在吗?
expansion,gt,扩张,becoming larger,/ɪkˈspænʃən/,边界往外推开，空间、数量或范围变大。,Business expansion is slow.,业务扩张很慢。
experience,gt,"经验,经历",knowledge gained by doing,/ɪkˈspɪɹiəns/,亲自经过事情后，留在身上的知道和感觉。,She has years of experience.,她有多年的经验。
expert,gt,专家,a person with great skill,/ˈɛkspɝt/,在某件事上练得很深，别人会来问他的人。,Ask the expert.,问专家。
fact,gt,事实,a true thing,/fækt/,不靠喜欢不喜欢，事情本来就是这样的一点。,It's a known fact.,这是个众所周知的事实。
fall,gt,"跌落,秋天",dropping down or autumn,/fɑl/,从高处往下掉，也可指一年转入凉下来的季节。,He had a bad fall.,他摔得很重。
family,gt,家庭,parents and children,/ˈfæməli/,由父母、孩子和亲近亲属连成的一家人。,Family comes first.,家人优先。
father,gt,父亲,a male parent,/ˈfɑðɝ/,生养孩子或承担父亲位置的那位男性家长。,My father is a teacher.,我父亲是老师。
fear,gt,恐惧,feeling caused by danger,/fɪɹ/,觉得危险靠近时，心和身体一起收紧想躲开。,He has a fear of heights.,他怕高。
feeling,gt,感觉,emotional state,/ˈfilɪŋ/,身体或心里对外界生出的冷暖、痛痒和情绪。,I have a strange feeling.,我有种奇怪的感觉。
fiction,gt,"小说,虚构",made-up stories,/ˈfɪkʃən/,人编出来的故事世界，不按真实发生来要求。,She reads fiction every day.,她每天读小说。
field,gt,田地;领域,open land or area of study,/fild/,展开的一片地，也可是一块要研究或行动的范围。,The field is full of flowers.,田里开满了花。
fight,gt,"战斗,打架",a violent struggle,/faɪt/,双方用力对抗，可能动手，也可能争胜负。,They had a big fight.,他们大吵了一架。
fire,gt,火,flames giving heat and light,/ˈfaɪɝ/,燃烧时跳动发亮的热，能取暖也能烧毁。,Light a fire to keep warm.,生火取暖。
flame,gt,火焰,hot glowing part of a fire,/fleɪm/,火里一舌一舌亮着、发热并不断晃动的部分。,The candle flame is small.,蜡烛的火焰很小。
flight,gt,"飞行,航班",moving through the air,/flaɪt/,离开地面在空中移动，也可是一趟飞行行程。,The flight to Paris is long.,飞往巴黎的航班很长。
flower,gt,花,colored part of a plant,/ˈflaʊɝ/,植物开出的有颜色部分，常带香气并吸引目光。,Roses are my favorite flower.,玫瑰是我最爱的花。
fold,gt,折叠;褶,bending one part over another,/foʊld/,把柔软或薄的东西弯过去，让一部分叠到另一部分上。,There's a fold in the paper.,纸上有道折痕。
food,gt,食物,what people and animals eat,/fud/,人和动物吃下去，用来维持身体的东西。,Food is on the table.,食物在桌上。
force,gt,"力,武力",physical power or strength,/fɔɹs/,能推、拉、压或逼迫事情改变的那股力量。,Use force to open it.,用力把它打开。
form,gt,"形式,形状",shape or arrangement,/fɔɹm/,东西呈现出来的形状、结构或安排方式。,Water takes the form of its bottle.,水会变成瓶子的形状。
friend,gt,朋友,a person you like and trust,/fɹɛnd/,彼此喜欢并信得过，愿意靠近和互相帮助的人。,He's my best friend.,他是我最好的朋友。
front,gt,前面,forward part of something,/fɹʌnt/,朝前、迎着别人或行进方向的那一面位置。,Sit in the front.,坐到前面。
fruit,gt,水果,sweet part of a plant with seeds,/fɹut/,植物成熟后可吃的甜软部分，里面常有种子。,Apples are my favorite fruit.,苹果是我最爱的水果。
glass,gt,"玻璃,玻璃杯",hard clear material or cup,/ɡlæs/,硬而透明的材料，也可是一只用来喝水的杯。,Pour water in the glass.,把水倒进杯子。
gold,gt,"金,黄金",precious yellow metal,/ɡoʊld/,稀贵的黄色金属，亮、重，常被当作财富。,The ring is pure gold.,戒指是纯金的。
government,gt,政府,system that rules a country,/ˈɡʌvɝmənt/,管理国家和公共事务、制定规则的一套人和机构。,The government passed a law.,政府通过了一项法律。
grain,gt,"谷粒,颗粒",a small hard seed or particle,/ɡɹeɪn/,一粒小而硬的种子或颗粒，常可聚成一堆。,A grain of rice.,一粒米。
grass,gt,草,green plants on the ground,/ɡɹæs/,贴着地面成片生长的细绿植物，常铺满一片地。,The grass is green.,草是绿的。
grip,gt,抓握,firm hold with hands,/ɡɹɪp/,手指用力合住，牢牢抓住东西不让它滑走。,Keep a tight grip.,抓紧。
group,gt,"团体,组",a number of people or things together,/ɡɹup/,多个同类或相关的人和物，被放在一起看待。,A group of friends came.,一群朋友来了。
growth,gt,"生长,增长",process of becoming bigger,/ɡɹoʊθ/,从小到大、从少到多，慢慢长出来的过程。,The growth of plants is slow.,植物生长很慢。
guide,gt,"向导,指南",person or book that leads,/ɡaɪd/,走在前面带路，或给人步骤和方向的东西。,The guide showed us the way.,向导给我们带路。
harbor,gt,港口,safe place for ships,/ˈhɑɹbɝ/,船能躲风停靠、装卸人货的一片安全水边。,Ships rest in the harbor.,船停在港口里。
harmony,gt,和谐,agreement or pleasing combination,/ˈhɑɹməni/,不同声音、颜色或人相处得顺，不互相冲撞。,They live in harmony.,他们和谐相处。
hate,gt,憎恨,strong dislike,/heɪt/,强烈不喜欢，心里推开甚至想伤害的情绪。,His hate for lies is well known.,他对谎言的憎恨众所周知。
hearing,gt,"听觉,听证会",sense of receiving sound,/ˈhiɹɪŋ/,声音进入耳朵被接住，也可是一场正式听取。,Her hearing is sharp.,她听觉敏锐。
heat,gt,热,warmth from a source,/hit/,从火、太阳、机器或身体散出来的热度。,The heat of summer is strong.,夏天很热。
help,gt,帮助,assistance given,/hɛlp/,别人做不动或困难时，伸手让事情变容易。,I need your help.,我需要你的帮助。
history,gt,历史,record of past events,/ˈhɪstɝi/,过去发生的事被记录和串起来的一条线。,She studies Chinese history.,她研究中国历史。
hole,gt,"洞,孔",an opening in something,/hoʊl/,东西中间空了一块，眼睛能看见，手也可能伸进去。,There's a hole in my sock.,我袜子有个洞。
hope,gt,希望,feeling that good will come,/hoʊp/,相信好事可能来到，心里还亮着一点等候。,Hope makes life bearable.,希望让生活变得可以忍受。
hour,gt,小时,60 minutes of time,/ˈaʊɝ/,把一天的时间切开后，等于六十分钟的一段。,Wait one hour.,等一个小时。
humor,gt,幽默,quality of being funny,/ˈhjumɝ/,让人觉得好笑、轻松，想笑出来的味道。,He has a great sense of humor.,他很有幽默感。
ice,gt,冰,frozen water,/aɪs/,水冷到硬起来，变成透明或白色的冷块。,Put ice in my drink.,我饮料里加点冰。
idea,gt,"主意,想法",thought or plan in the mind,/aɪˈdiə/,脑中冒出的一个想法、画面或做事方案。,That's a good idea.,这主意不错。
impulse,gt,冲动,sudden urge to act,/ˈɪmpəls/,还没细想，身体和心已经突然被推着想去做。,"On impulse, she bought it.",她一时冲动买了它。
increase,gt,增加,becoming greater,/ˈɪnˌkɹis/,数量、程度或力量往上长，比原来更多。,There's an increase in sales.,销量有所增加。
industry,gt,"工业,行业",production of goods or services,/ˈɪndəstɹi/,许多人和机器一起持续生产东西或服务的行当。,The car industry is huge.,汽车工业规模很大。
ink,gt,墨水,colored liquid for writing,/ɪŋk/,笔里或瓶里的有色液体，落下后留下字迹和线条。,The pen has black ink.,笔里是黑墨水。
insect,gt,昆虫,small creature with six legs,/ˈɪnˌsɛkt/,小小的六脚活物，常有翅、触角和硬壳。,A bee is an insect.,蜜蜂是昆虫。
instrument,gt,"乐器,工具",tool for a task or making music,/ˈɪnstɹəmənt/,拿来完成某种工作，或发出音乐的专门工具。,The piano is her instrument.,钢琴是她的乐器。
insurance,gt,保险,protection against loss,/ˌɪnˈʃʊɹəns/,先交一笔钱，真出损失时有人帮你分担。,Car insurance is required.,汽车保险是必需的。
interest,gt,兴趣;利息,curiosity or money gained,/ˈɪntɝəst/,心被某事牵住想了解，也可是钱生出的额外钱。,She has interest in art.,她对艺术有兴趣。
invention,gt,发明,something new created,/ˌɪnˈvɛnʃən/,原来没有的用具或办法，被人想出并做成。,The phone was a great invention.,电话是伟大的发明。
iron,gt,"铁,熨斗",strong gray metal or tool to smooth clothes,/ˈaɪɝn/,坚硬灰色金属，也可是烫平衣服的热工具。,The gate is made of iron.,大门是铁做的。
jelly,gt,果冻,soft semi-solid food,/ˈdʒɛli/,软软会晃的半凝食物，介于水和固体之间。,Spread jelly on toast.,在土司上抹果酱。
join,gt,接合处,a place where things meet,/dʒɔɪn/,两个部分碰到并接在一起，形成连接的地方。,The join is smooth.,接缝平滑。
journey,gt,旅程,act of traveling,/ˈdʒɝni/,从一处出发到另一处，中间经过的一段路。,It's a long journey.,这是一段漫长的旅程。
judge,gt,"法官,裁判",one who decides cases,/dʒʌdʒ/,听完两边说法后，负责判断并作出裁断的人。,The judge made his ruling.,法官做出了裁决。
jump,gt,跳跃,pushing off the ground,/dʒʌmp/,脚用力一蹬离开地面，让身体短暂腾起。,That was a high jump.,那一跳跳得高。
kick,gt,踢,hitting with the foot,/kɪk/,用脚向外打出去，碰到、推动或踢开东西。,Give the ball a kick.,踢一下球。
kiss,gt,吻,touch with lips,/kɪs/,用嘴唇轻触人或物，传递亲近、爱意或礼貌。,She gave him a kiss.,她吻了他。
knowledge,gt,知识,information one knows,/ˈnɑlədʒ/,被学到、记住并能拿来使用的一份知道。,Knowledge is power.,知识就是力量。
land,gt,"土地,陆地",solid surface of earth,/lænd/,水面之外可站立、种植、建造和生活的地面。,They own a lot of land.,他们有很多土地。
language,gt,语言,system of words used to communicate,/ˈlæŋɡwədʒ/,人用来互相说明想法的一套声音和文字。,English is a world language.,英语是世界语言。
laugh,gt,"笑,笑声",sound of joy,/læf/,觉得好笑或开心时，从身体里冒出的声音。,She gave a hearty laugh.,她爽朗地笑了。
law,gt,法律,rule made by government,/lɑ/,由公共权力定下、大家必须遵守的规则。,It's against the law.,这违法。
lead,gt,铅,heavy gray metal used in pencils and weights,/lɛd/,一种很重的灰色金属，也可指走在最前面。,Pencils contain lead.,铅笔里有铅芯。
learning,gt,"学习,学问",process of gaining knowledge,/ˈlɝnɪŋ/,通过听、看、练，把不会的慢慢变成会。,Learning never ends.,学无止境。
leather,gt,皮革,material from animal skin,/ˈlɛðɝ/,动物皮处理后变成的结实柔韧材料，可做鞋包。,The bag is leather.,这包是皮的。
letter,gt,信;字母,written message or alphabet sign,/ˈlɛtɝ/,写给别人的一段消息，也可是组成词的小符号。,Write me a letter.,给我写封信。
level,gt,"水平,水准",height or standard,/ˈlɛvəl/,高低位置或能力标准停在的那一层档位。,His skill is at a high level.,他技术水平很高。
lift,gt,电梯;抬起,raising up or elevator,/lɪft/,把东西向上带起，也可是上下运人的小空间。,Take the lift to the top.,坐电梯上顶楼。
light,gt,"光,灯",brightness from sun or lamp,/laɪt/,让眼睛看见东西的亮，也可是一盏发亮的物。,Turn on the light.,开灯。
limit,gt,限度,a point not to be passed,/ˈlɪmət/,再往前就不许或不能越过的那条清楚边界。,There's a speed limit here.,这里有速度限制。
linen,gt,亚麻布,cloth made from flax,/ˈlɪnən/,用亚麻纤维织出的清爽结实布料，常做衣物床品。,Linen sheets feel cool.,亚麻床单很凉爽。
liquid,gt,液体,substance that flows,/ˈlɪkwəd/,没有固定形状，会顺着容器流动的东西。,Water is a liquid.,水是液体。
list,gt,清单,series of items written,/lɪst/,把一项项东西按顺序写下来，方便查看。,Make a shopping list.,列个购物清单。
look,gt,看;样子,appearance or act of seeing,/lʊk/,眼睛投过去看，也可是外表给人的样子。,Have a look at this.,看看这个。
loss,gt,损失,something gone,/lɔs/,原来有的东西不见了、少了，或被人拿走了。,His death was a great loss.,他的去世是巨大的损失。
love,gt,爱,deep affection,/lʌv/,很深地喜欢和在意，想靠近、保护和给予。,Love is everything.,爱是一切。
machine,gt,机器,device with moving parts,/məˈʃin/,由零件配合运转，替人出力完成工作的装置。,The washing machine is loud.,洗衣机声音很大。
man,gt,"男人,人",adult male or human,/mæn/,成年男性，也可泛指人类中的一个普通成员。,He's a good man.,他是个好人。
manager,gt,经理,person in charge,/ˈmænədʒɝ/,负责安排人和事，让工作顺着目标运转的人。,Ask the manager.,问经理。
mark,gt,标记,a sign or stain,/mɑɹk/,留在表面的点、线或痕，用来认出或区分。,Make a mark here.,在这做个记号。
market,gt,市场,place for buying and selling,/ˈmɑɹkət/,买卖双方聚到一起，货物和价格流动的地方。,I go to the market weekly.,我每周去市场。
mass,gt,质量;大量,amount of matter or large group,/mæs/,聚成一大团的物量或人群，感觉沉而多。,A mass of people gathered.,一大群人聚集。
meal,gt,一餐,food eaten at one time,/mil/,一次坐下来吃的食物，算作一天中的一顿。,Dinner is the main meal.,晚餐是主餐。
measure,gt,"测量,措施",size or action taken,/ˈmɛʒɝ/,拿标准去量大小，也可指为解决问题采取的一步。,Take measures to fix it.,采取措施去解决。
meat,gt,肉,food from animal flesh,/mit/,动物身体里可被做成食物的那块肉质部分。,I don't eat meat.,我不吃肉。
meeting,gt,会议,gathering to discuss,/ˈmitɪŋ/,几个人在同一时间聚到一起，面对面谈一件事。,The meeting starts at ten.,会议十点开始。
memory,gt,记忆,ability to remember,/ˈmɛmɝi/,过去的事被脑子留下来，后来还能想起。,She has a good memory.,她记性好。
metal,gt,金属,hard shiny material like iron,/ˈmɛtəl/,坚硬发亮的材料，能被打造成工具和机器。,Steel is a strong metal.,钢是坚固的金属。
middle,gt,中间,central part of something,/ˈmɪdəl/,两边之间的中心位置，离各端都不太远。,Stand in the middle.,站到中间。
milk,gt,牛奶,white liquid from cows,/mɪlk/,动物身上流出的白色养分，常给幼小生命喝。,Drink your milk.,把牛奶喝了。
mind,gt,"思想,大脑",part of person that thinks,/maɪnd/,人在里面想、记、判断和感受的看不见空间。,Keep an open mind.,保持开放的心态。
mine,gt,矿,hole to dig out metals,/maɪn/,向地下挖出的地方，用来取出石中财富。,They work in a gold mine.,他们在金矿工作。
minute,gt,分钟,60 seconds of time,/ˈmɪnət/,很短的一段时间，像钟面上细小的一格。,Wait a minute.,等一分钟。
mist,gt,薄雾,thin cloud near the ground,/mɪst/,贴近地面的细小水气，让远处变得模糊。,Morning mist covered the fields.,晨雾笼罩田野。
money,gt,钱,coins and paper used to buy,/ˈmʌni/,大家承认的交换凭证，能换来东西和服务。,Money can't buy time.,金钱买不到时间。
month,gt,月份,one of twelve parts of year,/mʌnθ/,一年来回分成的较大时间块，约三十天。,This month is busy.,这个月很忙。
morning,gt,早晨,early part of day,/ˈmɔɹnɪŋ/,夜色退去后的早段时间，事情重新开始。,Good morning!,早上好!
mother,gt,母亲,a female parent,/ˈmʌðɝ/,生养并照看孩子的人，给生命最初依靠。,My mother cooks well.,我妈妈做饭很好吃。
motion,gt,"运动,动作",act of moving,/ˈmoʊʃən/,东西不再静止，位置或姿态正在改变。,The motion was smooth.,动作很流畅。
mountain,gt,山,very high land,/ˈmaʊntən/,大地高高隆起的巨大块面，挡住视线和路。,The mountain is snowy.,山上有雪。
move,gt,"移动,行动",change of position,/muv/,从原处换到别处，或让身体和局面动起来。,That was a smart move.,这一步走得聪明。
music,gt,音乐,sounds arranged pleasingly,/ˈmjuzɪk/,有节奏和高低的声音，被安排成可感的流动。,I love jazz music.,我爱爵士乐。
name,gt,名字,word for a person or thing,/neɪm/,贴在人或物上的声音标签，用来认出它。,What's your name?,你叫什么名字?
nation,gt,国家,a country and its people,/ˈneɪʃən/,一群人在共同土地和制度下组成的大整体。,The nation celebrated.,全国都在庆祝。
need,gt,"需要,需求",thing required,/nid/,缺了就难以继续的东西，心和事都向它伸手。,His needs are simple.,他的需求很简单。
news,gt,新闻,information about recent events,/njuz/,刚发生或刚知道的消息，从外面传到人群中。,Have you heard the news?,你听说那消息了吗?
night,gt,夜晚,time when sky is dark,/naɪt/,太阳离开后的黑暗时段，世界转入安静。,The stars shine at night.,星星在夜里闪亮。
noise,gt,噪音,loud or unpleasant sound,/nɔɪz/,杂乱或刺耳的声音，打破安静并拉走注意。,What's that noise?,那是什么声音?
note,gt,"笔记,便条",short written message,/noʊt/,短短留下的记号或话语，提醒人记住某事。,Leave a note for me.,给我留张条。
number,gt,"数字,号码",word or sign for counting,/ˈnʌmbɝ/,用来数清多少和次序的符号或概念。,My number is 555.,我的号码是555。
observation,gt,观察,act of watching closely,/ˌɑbzɝˈveɪʃən/,把眼前事物仔细看住，再在心里留下判断。,Make an observation.,做个观察。
offer,gt,提议,something proposed for acceptance,/ˈɔfɝ/,把东西或机会伸到别人面前，让对方可接。,He made me an offer.,他给了我一个提议。
oil,gt,油,thick liquid used as fuel or food,/ɔɪl/,滑腻不易混水的液体，可燃也可使东西顺滑。,Add oil to the pan.,往锅里加油。
operation,gt,"操作,手术",action or surgery,/ˌɑpɝˈeɪʃən/,按步骤动手处理，让身体、机器或计划运转。,The operation was successful.,手术很成功。
opinion,gt,意见,personal view,/əˈpɪnjən/,心里对一件事形成的看法，不一定人人相同。,"In my opinion, it's good.","依我看,这挺好。"
order,gt,"秩序,命令",command or arrangement,/ˈɔɹdɝ/,把事物排成规矩，也可向别人发出要求。,Put things in order.,把东西整理好。
organization,gt,组织,a group with a purpose,/ˌɔɹɡənəˈzeɪʃən/,许多人和部分被安排成一个能做事的整体。,She joined a new organization.,她加入了一个新组织。
ornament,gt,装饰品,decorative object,/ˈɔɹnəmənt/,加在物体上的美化之物，让它更可看。,The room has many ornaments.,房间里有很多装饰品。
owner,gt,主人,person who owns something,/ˈoʊnɝ/,某物归他掌握和负责的人，别人不能随意拿。,Who is the owner of this car?,这车谁的?
page,gt,页面,one side of paper in book,/peɪdʒ/,书或纸中的一面，承载一小片文字内容。,Turn to page 5.,翻到第5页。
pain,gt,疼痛,unpleasant body feeling,/peɪn/,身体或心里被伤到时发出的难受信号。,I feel pain in my back.,我背疼。
paint,gt,"油漆,颜料",colored liquid for surfaces,/peɪnt/,涂在表面的有色材料，也指用颜色造画面。,Buy red paint for the wall.,买红漆刷墙。
paper,gt,纸,thin material for writing,/ˈpeɪpɝ/,薄薄的可写材料，承接文字、图像和包裹。,Write on the paper.,在纸上写。
part,gt,部分,a piece of a whole,/pɑɹt/,整体中的一块，离开整体也能被单独指出。,This is part of the puzzle.,这是拼图的一部分。
paste,gt,浆糊,sticky soft substance,/peɪst/,黏稠的软物，可涂开并把东西粘在一起。,Use paste to stick this.,用浆糊把这粘上。
payment,gt,付款,money given for goods,/ˈpeɪmənt/,为得到东西或偿还责任而交出去的钱。,Payment is due Monday.,周一付款。
peace,gt,"和平,平静",absence of war or quiet,/pis/,争斗停下后的安稳状态，人和人不再相伤。,They want peace.,他们渴望和平。
person,gt,人,a human being,/ˈpɝsən/,一个有身体、思想和身份的具体人。,She's a kind person.,她是个善良的人。
place,gt,地方,a particular location,/pleɪs/,事情或东西所在的具体位置或空间。,This place is beautiful.,这地方真美。
plant,gt,植物,living thing that grows in soil,/plænt/,扎根生长的绿色生命，从土里向光伸展。,Water the plants daily.,每天给植物浇水。
play,gt,"玩,戏剧",recreation or drama,/pleɪ/,带着乐趣做动作或演出，让身心进入游戏。,We watched a great play.,我们看了一出好戏。
pleasure,gt,快乐,feeling of happiness,/ˈplɛʒɝ/,身体或心里觉得舒服愉快的感受。,It's my pleasure.,我的荣幸。
point,gt,"点,要点",sharp end or main idea,/pɔɪnt/,小而明确的一处，也可是一句话的核心所在。,Get to the point.,说重点。
poison,gt,毒药,substance that harms or kills,/ˈpɔɪzən/,进入身体后会伤害生命的有害东西。,This plant is poison.,这植物有毒。
polish,gt,擦光剂,substance to make shiny,/ˈpɑlɪʃ/,反复摩擦表面，使它变亮变顺也更精细。,Use shoe polish for shine.,用鞋油擦亮鞋子。
porter,gt,搬运工,person who carries luggage,/ˈpɔɹtɝ/,替人搬运行李或货物的人，靠肩手移动重物。,The porter took our bags.,搬运工拿走了我们的包。
position,gt,"位置,职位",place or job,/pəˈzɪʃən/,某人某物所在的方位，也指所占的身份位置。,What's your position here?,你在这是什么职位?
powder,gt,粉末,very fine dry substance,/ˈpaʊdɝ/,细碎成粉的干物，像被磨散的小颗粒。,Use baby powder.,用婴儿爽身粉。
power,gt,"力量,权力",ability or strength,/ˈpaʊɝ/,让事情发生或支配局面的力量和能力。,Knowledge is power.,知识就是力量。
price,gt,价格,amount of money to pay,/pɹaɪs/,一件东西被标出的交换数目，买它要付出。,What's the price?,价格是多少?
print,gt,"印刷,印记",mark made by pressing,/pɹɪnt/,把字或图压印到表面上，让许多份出现。,His thumb print is on it.,上面有他的指纹。
process,gt,过程,series of steps,/ˈpɹɑses/,事情从开始到结果之间，一步步变化的经过。,Learning is a slow process.,学习是个慢过程。
produce,gt,农产品,food grown on a farm,/ˈpɹoʊduːs/,从劳动、土地或机器中生出可用的东西。,Fresh produce is best.,新鲜农产品最好。
profit,gt,利润,money gained from business,/ˈpɹɑfət/,付出成本之后剩下的好处或赚到的钱。,They made a big profit.,他们获利丰厚。
property,gt,财产,things one owns,/ˈpɹɑpɝti/,归某人拥有的东西，也可指事物自身特性。,This is private property.,这是私人财产。
prose,gt,散文,ordinary written language,/pɹoʊz/,像平常说话那样连成句子的文字，不按诗行走。,He writes clear prose.,他写的散文清晰。
protest,gt,抗议,strong statement of disagreement,/ˈpɹoʊtest/,站出来表示不同意，用声音或行动反对。,They held a protest.,他们举行了抗议。
pull,gt,拉,act of drawing toward,/pʊl/,把东西朝自己这边用力带近。,Give the rope a pull.,拉一下绳子。
punishment,gt,惩罚,penalty for wrong action,/ˈpʌnɪʃmənt/,做错后被施加的痛苦或损失，用来约束行为。,The punishment was light.,惩罚很轻。
purpose,gt,目的,reason for doing,/ˈpɝpəs/,行动背后的目标，说明为什么要这样做。,What's the purpose of this?,这有什么用?
push,gt,推,act of moving forward by pressure,/pʊʃ/,把力量从自己这边顶出去，使东西离开或前进。,Give the door a push.,推一下门。
quality,gt,质量,how good something is,/ˈkwɑləti/,事物身上的某种性质，也指好坏的程度。,This is high quality.,这质量很高。
question,gt,问题,sentence asking for answer,/ˈkwɛstʃən/,心里有空缺，于是把话伸出去求答案。,May I ask a question?,我能问个问题吗?
rain,gt,雨,water falling from sky,/ɹeɪn/,云里的水落向地面，给世界带来湿意。,Rain is falling hard.,雨下得很大。
range,gt,范围,limits between which something varies,/ɹeɪndʒ/,从一端到另一端可覆盖的范围或连续带。,The price range is wide.,价格范围很广。
rate,gt,"比率,速度",speed or ratio,/ɹeɪt/,按某个尺度量出的速度、比例或价格。,"At this rate, we'll be late.","照这速度,我们要迟到了。"
ray,gt,光线,narrow line of light,/ɹeɪ/,从光源直直射出的细长光线。,A ray of sunshine came in.,一束阳光照进来。
reaction,gt,反应,response to something,/ɹiˈækʃən/,受到刺激后回过来的动作、变化或态度。,His reaction was quick.,他反应很快。
reading,gt,阅读,act of looking at words,/ˈɹidɪŋ/,眼睛接住文字，让心里听见它的意思。,Reading is my hobby.,阅读是我的爱好。
reason,gt,"原因,理智",cause or logical thinking,/ˈɹizən/,让判断站得住的根据，也是事情发生的为什么。,Tell me the reason.,告诉我原因。
record,gt,记录,written account of facts,/ˈɹɛkɚd/,把事情留下痕迹，日后还能查到或听到。,Keep a record of your work.,记录你的工作。
regret,gt,遗憾,sad feeling about past,/ɹəˈɡɹɛt/,回看已发生的事，心里觉得可惜或难过。,I have no regret.,我不后悔。
relation,gt,关系,connection between people or things,/ɹiˈleɪʃən/,两个人或事物之间相连相对的方式。,The relation is clear.,关系很清楚。
religion,gt,宗教,belief in higher power,/ɹiˈlɪdʒən/,人对神圣力量和生命意义的信仰与规矩。,What's your religion?,你信什么教?
representative,gt,代表,person speaking for others,/ˌɹɛpɹəˈzɛnətɪv/,替一群人说话或行动的人，站在他们前面。,She's our representative.,她是我们的代表。
request,gt,请求,act of asking for something,/ɹiˈkwɛst/,把需要礼貌地说出来，请别人给予或去做。,I have a request.,我有个请求。
respect,gt,尊重,high regard for someone,/ɹiˈspɛkt/,把对方看得有分量，因此言行留出敬意。,Show respect to elders.,尊重长辈。
rest,gt,休息,freedom from work,/ɹɛst/,动作停下，让身体或事情重新恢复力量。,Take a rest.,休息一下。
reward,gt,奖赏,something given for good action,/ɹiˈwɔɹd/,因做得好或付出后得到的回报和认可。,Hard work brings reward.,努力有回报。
rhythm,gt,节奏,regular pattern of sound,/ˈɹɪðəm/,声音或动作按强弱快慢反复出现的脉动。,Feel the rhythm of the song.,感受歌曲的节奏。
rice,gt,"米,大米",white grain food,/ɹaɪs/,小粒白色谷物，煮熟后成为许多人的主食。,Rice is our main food.,米饭是我们的主食。
river,gt,"河,河流",large flowing water,/ˈɹɪvɝ/,水沿着长长的低处不断流向远方。,The river flows east.,河水向东流。
road,gt,路,way for vehicles to travel,/ɹoʊd/,供人和车通行的带状地面，把地方连起来。,The road is long.,路很长。
roll,gt,"滚动,卷",turning over or cylinder,/ɹoʊl/,圆物贴着面不断翻转前行，或把东西卷起。,Give the ball a roll.,把球滚一下。
room,gt,房间;空间,part of building or space,/ɹum/,被墙围出的可进入空间，也指还能容纳的余地。,There's no room here.,这没地方了。
rub,gt,摩擦,move with pressure on a surface,/ɹʌb/,让两个表面来回摩擦，擦掉或擦出变化。,Give it a good rub.,使劲擦一下。
rule,gt,规则,statement about what to do,/ɹul/,规定人该怎样做的线，也可指掌管别人。,Follow the rules.,遵守规则。
run,gt,跑;运行,act of moving fast on foot,/ɹʌn/,脚步快速连续向前，也指机器或事情在运转。,Go for a run.,去跑步吧。
salt,gt,盐,white substance to flavor food,/sɔlt/,带咸味的白色晶体，使食物有味也能保存。,Add salt to the soup.,汤里加点盐。
sand,gt,沙,tiny grains on beach,/sænd/,大量细小石粒铺在地上，松散又会流动。,The sand is warm.,沙子很暖。
scale,gt,"刻度,规模",size or measuring marks,/skeɪl/,用来量大小重量的刻度，也指逐级展开的层次。,A small-scale model.,小比例模型。
science,gt,科学,systematic study of nature,/ˈsaɪəns/,用观察和试验找规律的知识办法。,She studies science.,她学科学。
sea,gt,海,large body of salt water,/si/,广阔连成一片的咸水，包围陆地边缘。,The sea is calm today.,今天海面平静。
seat,gt,座位,thing to sit on,/sit/,让身体坐下的位置，也可指被占有的席位。,Take a seat.,请坐。
secretary,gt,秘书,person who handles office work,/ˈsɛkɹəˌtɛɹi/,替人处理文字、安排和联系事务的助手。,My secretary will call you.,我秘书会给你打电话。
selection,gt,选择,act of choosing,/səˈlɛkʃən/,从许多可能里挑出某些，留下被选中的部分。,Make a good selection.,做出好的选择。
self,gt,自我,one's own being,/sɛlf/,与别人分开的这个自己，心身和身份的中心。,Be true to your self.,忠于自我。
sense,gt,"感觉,意义",feeling or meaning,/sɛns/,身体接收世界的通道，也指心里觉得有道理。,It makes sense.,这说得通。
servant,gt,仆人,person who works for another,/ˈsɝvənt/,为别人做日常服务的人，听从主人安排。,The servant brought tea.,仆人端来了茶。
sex,gt,"性别,性",male or female nature,/sɛks/,生物分成雌雄的身体属性，也指性的关系。,What's the sex of the baby?,宝宝是男是女?
shade,gt,阴影,area away from light,/ʃeɪd/,光被挡住后留下的暗处，也可减弱颜色或热度。,Sit in the shade.,坐到阴凉处。
